Genome	Division	nhr_file	nin_file	nsq_file
Caenorhabditis_elegans	Invertebrate metazoa	<a href='LIRBase_blastdb/Caenorhabditis_elegans.nhr' target='_blank'>Caenorhabditis_elegans.nhr</a>	<a href='LIRBase_blastdb/Caenorhabditis_elegans.nin' target='_blank'>Caenorhabditis_elegans.nin</a>	<a href='LIRBase_blastdb/Caenorhabditis_elegans.nsq' target='_blank'>Caenorhabditis_elegans.nsq</a>
Caenorhabditis_japonica	Invertebrate metazoa	<a href='LIRBase_blastdb/Caenorhabditis_japonica.nhr' target='_blank'>Caenorhabditis_japonica.nhr</a>	<a href='LIRBase_blastdb/Caenorhabditis_japonica.nin' target='_blank'>Caenorhabditis_japonica.nin</a>	<a href='LIRBase_blastdb/Caenorhabditis_japonica.nsq' target='_blank'>Caenorhabditis_japonica.nsq</a>
Caenorhabditis_remanei	Invertebrate metazoa	<a href='LIRBase_blastdb/Caenorhabditis_remanei.nhr' target='_blank'>Caenorhabditis_remanei.nhr</a>	<a href='LIRBase_blastdb/Caenorhabditis_remanei.nin' target='_blank'>Caenorhabditis_remanei.nin</a>	<a href='LIRBase_blastdb/Caenorhabditis_remanei.nsq' target='_blank'>Caenorhabditis_remanei.nsq</a>
Capitella_teleta	Invertebrate metazoa	<a href='LIRBase_blastdb/Capitella_teleta.nhr' target='_blank'>Capitella_teleta.nhr</a>	<a href='LIRBase_blastdb/Capitella_teleta.nin' target='_blank'>Capitella_teleta.nin</a>	<a href='LIRBase_blastdb/Capitella_teleta.nsq' target='_blank'>Capitella_teleta.nsq</a>
Crassostrea_gigas	Invertebrate metazoa	<a href='LIRBase_blastdb/Crassostrea_gigas.nhr' target='_blank'>Crassostrea_gigas.nhr</a>	<a href='LIRBase_blastdb/Crassostrea_gigas.nin' target='_blank'>Crassostrea_gigas.nin</a>	<a href='LIRBase_blastdb/Crassostrea_gigas.nsq' target='_blank'>Crassostrea_gigas.nsq</a>
Culex_quinquefasciatus	Invertebrate metazoa	<a href='LIRBase_blastdb/Culex_quinquefasciatus.nhr' target='_blank'>Culex_quinquefasciatus.nhr</a>	<a href='LIRBase_blastdb/Culex_quinquefasciatus.nin' target='_blank'>Culex_quinquefasciatus.nin</a>	<a href='LIRBase_blastdb/Culex_quinquefasciatus.nsq' target='_blank'>Culex_quinquefasciatus.nsq</a>
Culicoides_sonorensis	Invertebrate metazoa	<a href='LIRBase_blastdb/Culicoides_sonorensis.nhr' target='_blank'>Culicoides_sonorensis.nhr</a>	<a href='LIRBase_blastdb/Culicoides_sonorensis.nin' target='_blank'>Culicoides_sonorensis.nin</a>	<a href='LIRBase_blastdb/Culicoides_sonorensis.nsq' target='_blank'>Culicoides_sonorensis.nsq</a>
Danaus_plexippus	Invertebrate metazoa	<a href='LIRBase_blastdb/Danaus_plexippus.nhr' target='_blank'>Danaus_plexippus.nhr</a>	<a href='LIRBase_blastdb/Danaus_plexippus.nin' target='_blank'>Danaus_plexippus.nin</a>	<a href='LIRBase_blastdb/Danaus_plexippus.nsq' target='_blank'>Danaus_plexippus.nsq</a>
Daphnia_magna	Invertebrate metazoa	<a href='LIRBase_blastdb/Daphnia_magna.nhr' target='_blank'>Daphnia_magna.nhr</a>	<a href='LIRBase_blastdb/Daphnia_magna.nin' target='_blank'>Daphnia_magna.nin</a>	<a href='LIRBase_blastdb/Daphnia_magna.nsq' target='_blank'>Daphnia_magna.nsq</a>
Daphnia_pulex	Invertebrate metazoa	<a href='LIRBase_blastdb/Daphnia_pulex.nhr' target='_blank'>Daphnia_pulex.nhr</a>	<a href='LIRBase_blastdb/Daphnia_pulex.nin' target='_blank'>Daphnia_pulex.nin</a>	<a href='LIRBase_blastdb/Daphnia_pulex.nsq' target='_blank'>Daphnia_pulex.nsq</a>
